iteration	time	nReplicationsDone	ConcentrationEnzyme_MethCleaner	ConcentrationEnzyme_AcetFiller	ConcentrationEnzyme_AcetCleaner	ConcentrationEnzyme_AcetGapperInMeth	ConcentrationEnzyme_MethExtendToAcet	ConcentrationEnzyme_AcetExtendToMeth	ConcentrationEnzyme_MethCreatorNN	ConcentrationEnzyme_AcetEliminator	ConcentrationEnzyme_MethGapperInAcet	ConcentrationEnzyme_AcetCreatorNN	ConcentrationEnzyme_MethExtender2	ConcentrationEnzyme_AcetFillerNN	ConcentrationEnzyme_MethExtender	ConcentrationEnzyme_MethReduceToAcet	ConcentrationEnzyme_MethFiller	ConcentrationEnzyme_AcetExtender	ConcentrationEnzyme_AcetCreator	ConcentrationEnzyme_MethFillerNN	ConcentrationEnzyme_AcetReduceToMeth	ConcentrationEnzyme_MethCreator	ConcentrationEnzyme_MethEliminator	ConcentrationEnzyme_AcetExtender2	MethCleaner_boundPos	AcetFiller_boundPos	AcetCleaner_boundPos	AcetGapperInMeth_boundPos	MethExtendToAcet_boundPos	AcetExtendToMeth_boundPos	MethCreatorNN_boundPos	AcetEliminator_boundPos	MethGapperInAcet_boundPos	AcetCreatorNN_boundPos	MethExtender2_boundPos	AcetFillerNN_boundPos	MethExtender_boundPos	MethReduceToAcet_boundPos	MethFiller_boundPos	AcetExtender_boundPos	AcetCreator_boundPos	MethFillerNN_boundPos	AcetReduceToMeth_boundPos	MethCreator_boundPos	MethEliminator_boundPos	AcetExtender2_boundPos	phase
	41	3.918898	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1											46												0
	42	4.035057	0	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0											46											30	0
	43	4.066312	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0																						30	0
	44	4.265862	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	45	4.341992	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1																			45				0
	46	4.368565	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	47	4.373549	0	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					45																		0
	48	4.467093	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	49	4.520410	0	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1																			44				0
	50	4.537171	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1														16					44				0
	51	4.746421	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														16									0
	52	4.750877	0	1	2	1	1	5	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1					44									16									0
	53	4.854874	0	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														16									0
	55	5.000000	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	56	5.001095	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0																						40	0
	57	5.014753	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0					30																	40	0
	58	5.019298	1	1	2	1	1	5	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0					30		18															40	0
	59	5.023882	1	1	2	1	1	5	1	0	1	1	1	1	2	0	1	1	1	1	1	1	1	1	0					30		18						22									40	0
	60	5.032383	1	1	1	1	1	5	1	0	1	1	1	1	2	0	1	1	1	1	1	1	1	1	0		11			30		18						22									40	0
	61	5.038138	1	1	1	1	1	5	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0		11			30		18					8	22									40	0
	62	5.040900	1	1	1	1	1	5	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0		11			30		18					8	22	6								40	0
	63	5.046500	1	1	1	1	1	5	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0		11			30		18					8	22	6		44						40	0
	64	5.047250	1	1	1	1	1	5	1	0	1	1	1	1	2	0	0	1	0	1	1	1	1	1	0		11			30		18						22	6		44						40	0
	65	5.050312	1	1	1	1	1	5	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0		11			30		18					14	22	6		44						40	0
	66	5.053185	1	1	0	1	1	5	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0		11,42			30		18					14	22	6		44						40	0
	67	5.057261	1	1	0	1	1	5	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0		11,42			30		18					14		6		44						40	0
	68	5.077353	1	1	1	1	1	5	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0		42			30		18					14		6		44						40	0
	69	5.095516	1	1	1	1	1	5	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0		42			30		18				19	14		6		44						40	0
	70	5.104551	1	1	1	1	1	5	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0		42			30		18				19	14				44						40	0
	71	5.142671	1	1	1	1	1	5	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0		42			30		18				19	14	23			44						40	0
	72	5.152113	1	1	1	1	1	4	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0		42			6,30		18				19	14	23			44						40	0
	73	5.221054	1	1	1	1	1	4	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0		42			6,30		18				19	14	23		1	44						40	0
	74	5.243333	1	1	1	1	1	4	1	0	1	1	1	0	2	0	1	0	0	1	1	1	1	1	0		42			6,30		18				19		23		1	44						40	0
