iteration	time	nReplicationsDone	ConcentrationEnzyme_AcetGapperInMeth	ConcentrationEnzyme_AcetCreator	ConcentrationEnzyme_MethFiller	ConcentrationEnzyme_AcetCleaner	ConcentrationEnzyme_MethCreator	ConcentrationEnzyme_MethExtender	ConcentrationEnzyme_AcetReduceToMeth	ConcentrationEnzyme_MethReduceToAcet	ConcentrationEnzyme_AcetExtendToMeth	ConcentrationEnzyme_AcetFillerNN	ConcentrationEnzyme_MethCleaner	ConcentrationEnzyme_AcetExtender	ConcentrationEnzyme_MethCreatorNN	ConcentrationEnzyme_AcetEliminator	ConcentrationEnzyme_AcetExtender2	ConcentrationEnzyme_MethFillerNN	ConcentrationEnzyme_MethExtendToAcet	ConcentrationEnzyme_AcetFiller	ConcentrationEnzyme_MethGapperInAcet	ConcentrationEnzyme_AcetCreatorNN	ConcentrationEnzyme_MethEliminator	ConcentrationEnzyme_MethExtender2	AcetGapperInMeth_boundPos	AcetCreator_boundPos	MethFiller_boundPos	AcetCleaner_boundPos	MethCreator_boundPos	MethExtender_boundPos	AcetReduceToMeth_boundPos	MethReduceToAcet_boundPos	AcetExtendToMeth_boundPos	AcetFillerNN_boundPos	MethCleaner_boundPos	AcetExtender_boundPos	MethCreatorNN_boundPos	AcetEliminator_boundPos	AcetExtender2_boundPos	MethFillerNN_boundPos	MethExtendToAcet_boundPos	AcetFiller_boundPos	MethGapperInAcet_boundPos	AcetCreatorNN_boundPos	MethEliminator_boundPos	MethExtender2_boundPos	phase
	148	6.078329	1	1	1	1	1	0	0	1	1	1	2	1	0	0	1	0	1	6	1	1	1	1	0					77	188						213	183		191			223				107	0
	149	6.102413	1	1	1	1	1	0	0	1	1	1	2	1	0	0	1	1	1	6	1	1	1	1	0					77	188						213	183					223				107	0
	150	6.115007	1	1	1	1	1	0	1	1	1	1	2	1	0	0	1	1	1	6	1	1	1	1	0					77							213	183					223				107	0
	151	6.118698	1	1	1	1	1	0	1	1	1	1	2	1	0	0	1	0	1	6	1	1	1	1	0					77							213	183		72			223				107	0
	152	6.142892	1	1	1	1	1	0	1	1	1	1	2	1	1	0	1	0	1	6	1	1	1	1	0					77								183		72			223				107	0
	153	6.144444	1	1	1	1	1	0	1	1	1	1	2	1	1	0	1	1	1	6	1	1	1	1	0					77								183					223				107	0
	154	6.153265	1	1	1	1	1	0	1	1	1	0	2	1	1	0	1	1	1	6	1	1	1	1	0					77				159				183					223				107	0
	155	6.155286	1	1	1	1	1	0	1	1	1	0	2	1	1	0	1	1	1	6	1	1	0	1	0					77				159				183					223		74		107	0
	156	6.161958	1	1	0	1	1	0	1	1	1	0	2	1	1	0	1	1	1	6	1	1	0	1	0		119			77				159				183					223		74		107	0
	157	6.173672	1	1	0	1	1	0	0	1	1	0	2	1	1	0	1	1	1	6	1	1	0	1	0		119			77	101			159				183					223		74		107	0
	158	6.176966	1	1	0	1	1	0	0	1	1	0	2	1	1	0	1	0	1	6	1	1	0	1	0		119			77	101			159				183		73			223		74		107	0
	159	6.184575	1	1	0	1	1	0	0	1	1	0	2	1	0	0	1	0	1	6	1	1	0	1	0		119			77	101			159			192	183		73			223		74		107	0
	160	6.201067	1	1	0	1	1	1	0	1	1	0	2	1	0	0	1	0	1	6	1	1	0	1	0		119				101			159			192	183		73			223		74		107	0
	161	6.209758	1	1	0	1	1	1	0	1	1	0	2	1	0	0	1	0	1	5	1	1	0	1	0		119				101			159			192	183		73		189	223		74		107	0
	162	6.226114	1	1	0	1	1	1	0	1	1	0	2	1	0	0	1	0	1	5	1	1	1	1	0		119				101			159			192	183		73		189	223				107	0
	163	6.263468	1	1	0	1	1	1	0	1	1	0	2	1	0	0	1	1	1	5	1	1	1	1	0		119				101			159			192	183				189	223				107	0
	164	6.265720	1	1	0	1	1	1	0	1	1	0	2	1	0	0	1	1	1	5	1	1	1	1	1		119				101			159			192	183				189	223					0
	165	6.273130	1	1	0	1	1	1	0	1	1	0	2	1	0	0	1	0	1	5	1	1	1	1	1		119				101			159			192	183		233		189	223					0
	166	6.310643	1	1	0	1	1	1	0	1	1	0	2	1	0	0	1	0	1	6	1	1	1	1	1		119				101			159			192	183		233			223					0
	167	6.328533	1	1	0	1	1	1	0	1	1	0	2	1	0	0	1	0	1	6	1	1	1	1	0		119				101			159			192	183		233			223				96	0
	168	6.351943	1	1	0	1	1	1	0	1	1	0	2	1	1	0	1	0	1	6	1	1	1	1	0		119				101			159				183		233			223				96	0
	169	6.354138	1	1	0	0	1	1	0	1	1	0	2	1	1	0	1	0	1	6	1	1	1	1	0		119	78			101			159				183		233			223				96	0
	170	6.359264	1	1	0	0	1	1	0	1	1	0	2	1	0	0	1	0	1	6	1	1	1	1	0		119	78			101			159			214	183		233			223				96	0
	171	6.373521	1	1	0	0	1	1	0	1	1	0	2	1	0	1	1	0	1	6	1	1	1	1	0		119	78			101			159			214			233			223				96	0
	172	6.403082	1	1	0	0	1	1	0	1	1	0	2	1	1	1	1	0	1	6	1	1	1	1	0		119	78			101			159						233			223				96	0
	173	6.453933	1	1	0	0	1	1	0	1	1	0	2	1	1	1	1	0	1	5	1	1	1	1	0		119	78			101			159						233		193	223				96	0
	174	6.484245	1	1	0	0	1	1	0	1	1	0	2	1	1	1	1	0	1	5	1	1	1	1	1		119	78			101			159						233		193	223					0
	175	6.495242	1	1	0	0	1	1	0	1	1	0	2	1	1	1	1	0	1	5	1	1	1	1	0		119	78			101			159						233		193	223				182	0
	176	6.499171	1	1	0	0	1	1	0	1	1	0	2	1	1	1	1	0	1	4	1	1	1	1	0		119	78			101			159						233		193,215	223				182	0
	177	6.520409	1	1	0	0	1	0	0	1	1	0	2	1	1	1	1	0	1	4	1	1	1	1	0		119	78		235	101			159						233		193,215	223				182	0
	178	6.521236	1	1	0	0	1	0	0	1	1	0	2	1	1	1	1	1	1	4	1	1	1	1	0		119	78		235	101			159								193,215	223				182	0
	179	6.527483	1	1	0	0	1	0	0	1	1	1	2	1	1	1	1	1	1	4	1	1	1	1	0		119	78		235	101											193,215	223				182	0
	180	6.533211	1	1	0	0	1	0	0	1	1	1	2	1	0	1	1	1	1	4	1	1	1	1	0		119	78		235	101						65					193,215	223				182	0
	181	6.533285	1	1	0	0	1	0	1	1	1	1	2	1	0	1	1	1	1	4	1	1	1	1	0		119	78		235							65					193,215	223				182	0
	182	6.540791	1	1	0	0	1	0	1	1	1	1	2	1	0	1	1	1	1	4	2	1	1	1	0		119	78		235							65					193,215					182	0
	183	6.547086	1	1	0	0	1	0	1	1	1	1	2	1	0	1	1	0	1	4	2	1	1	1	0		119	78		235							65			151		193,215					182	0
	184	6.549381	1	1	0	0	1	0	0	1	1	1	2	1	0	1	1	0	1	4	2	1	1	1	0		119	78		235	108						65			151		193,215					182	0
	185	6.556989	1	1	0	0	1	0	0	1	1	1	2	1	0	1	1	0	1	5	2	1	1	1	0		119	78		235	108						65			151		193					182	0
	186	6.580709	1	1	0	0	1	0	0	1	1	1	2	1	0	1	1	0	1	5	2	1	0	1	0		119	78		235	108						65			151		193			205		182	0
	187	6.595947	1	1	1	0	1	0	0	1	1	1	2	1	0	1	1	0	1	5	2	1	0	1	0			78		235	108						65			151		193			205		182	0
	188	6.613695	1	1	1	0	1	0	0	1	1	1	2	1	0	1	1	1	1	5	2	1	0	1	0			78		235	108						65					193			205		182	0
	189	6.617228	1	1	1	0	1	0	0	1	1	1	2	1	0	1	1	0	1	5	2	1	0	1	0			78		235	108						65			204		193			205		182	0
	190	6.646338	1	1	1	0	1	0	0	1	1	1	2	1	1	1	1	0	1	5	2	1	0	1	0			78		235	108									204		193			205		182	0
	191	6.647253	1	1	1	0	1	0	0	1	1	1	2	1	1	1	1	0	1	5	1	1	0	1	0			78		235	108									204		193	66		205		182	0
	192	6.659943	1	1	1	0	1	0	0	1	1	1	2	1	0	1	1	0	1	5	1	1	0	1	0			78		235	108						120			204		193	66		205		182	0
	193	6.669274	1	1	1	0	1	0	1	1	1	1	2	1	0	1	1	0	1	5	1	1	0	1	0			78		235							120			204		193	66		205		182	0
	194	6.693571	1	1	1	0	1	1	1	1	1	1	2	1	0	1	1	0	1	5	1	1	0	1	0			78									120			204		193	66		205		182	0
	195	6.696002	1	1	1	0	1	1	0	1	1	1	2	1	0	1	1	0	1	5	1	1	0	1	0			78			80						120			204		193	66		205		182	0
	196	6.713961	1	1	1	0	1	1	0	1	1	1	2	1	0	1	1	0	1	5	1	1	0	1	1			78			80						120			204		193	66		205			0
	197	6.719080	1	1	1	0	1	1	0	1	1	1	2	1	0	1	1	0	1	6	1	1	0	1	1			78			80						120			204			66		205			0
	198	6.722106	1	1	1	0	1	1	0	1	1	1	2	1	0	1	1	0	1	6	1	1	0	1	0			78			80						120			204			66		205		184	0
	199	6.747288	1	1	1	0	1	1	0	1	0	1	2	1	0	1	1	0	1	6	1	1	0	1	0			78			80		193				120			204			66		205		184	0
	200	6.757821	1	1	1	0	1	1	0	1	0	1	2	1	1	1	1	0	1	6	1	1	0	1	0			78			80		193							204			66		205		184	0
	201	6.759285	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	6	1	1	0	1	0			78			80		193		152					204			66		205		184	0
	202	6.814821	1	1	1	0	1	1	0	1	0	1	2	1	1	1	1	0	1	6	1	1	0	1	0			78			80		193							204			66		205		184	0
	203	6.826714	1	1	1	0	1	1	0	1	0	1	2	1	0	1	1	0	1	6	1	1	0	1	0			78			80		193				227			204			66		205		184	0
	204	6.848509	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	6	1	1	0	1	0			78			80		193		121		227			204			66		205		184	0
	205	6.877632	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	5	1	1	0	1	0			78			80		193		121		227			204		234	66		205		184	0
	206	6.878588	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	5	1	1	0	1	0			78			80		193		121		227					234	66		205		184	0
	207	6.888632	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	5	2	1	0	1	0			78			80		193		121		227					234			205		184	0
	208	6.900184	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	5	2	1	0	1	0			78			80	190	193		121		227					234			205		184	0
	209	6.923373	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	5	2	1	0	1	0						80	190	193		121		227					234			205		184	0
	210	6.933739	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	5	2	1	1	1	0						80	190	193		121		227					234					184	0
	211	6.938480	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	5	2	1	1	1	0						80	190			121		227					234					184	0
	212	6.967448	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	4	2	1	1	1	0						80	190			121		227					193,234					184	0
	213	6.969810	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	5	2	1	1	1	0						80	190			121		227					234					184	0
	214	6.973829	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	6	2	1	1	1	0						80	190			121		227										184	0
	215	6.976015	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	6	2	1	1	1	0						80	190			121		227	110									184	0
	216	6.980423	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	6	1	1	1	1	0						80	190			121		227	110					206				184	0
	217	7.045684	1	1	1	1	1	1	0	0	1	1	2	1	0	0	1	1	1	6	1	1	1	1	0						80	190					227	110					206				184	0
	218	7.048213	1	1	1	1	1	1	0	0	0	1	2	1	0	0	1	1	1	6	1	1	1	1	0						80	190	160				227	110					206				184	0
	219	7.075331	1	1	1	1	1	1	1	0	0	1	2	1	0	0	1	1	1	6	1	1	1	1	0							190	160				227	110					206				184	0
	220	7.078578	1	1	1	1	1	1	1	0	0	1	2	1	0	0	1	0	1	6	1	1	1	1	0							190	160				227	110		75			206				184	0
	221	7.090820	1	1	1	1	1	1	0	0	0	1	2	1	0	0	1	0	1	6	1	1	1	1	0						236	190	160				227	110		75			206				184	0
	222	7.098373	1	1	1	1	1	1	0	0	0	1	2	1	0	0	1	0	1	6	2	1	1	1	0						236	190	160				227	110		75							184	0
	223	7.100897	1	1	1	1	1	1	0	0	0	1	2	1	1	0	1	0	1	6	2	1	1	1	0						236	190	160					110		75							184	0
	224	7.124463	1	1	1	1	1	1	0	0	0	1	2	1	1	1	1	0	1	6	2	1	1	1	0						236	190	160							75							184	0
	225	7.140574	1	1	1	1	1	1	0	0	1	1	2	1	1	1	1	0	1	6	2	1	1	1	0						236	190								75							184	0
	226	7.141339	1	1	1	1	1	1	0	0	1	1	2	1	1	1	1	1	1	6	2	1	1	1	0						236	190															184	0
	227	7.146639	1	1	1	1	1	1	0	0	1	1	2	1	1	1	1	0	1	6	2	1	1	1	0						236	190								160							184	0
	228	7.173100	1	1	1	1	1	1	0	0	1	1	2	1	1	0	1	0	1	6	2	1	1	1	0						236	190						115		160							184	0
	229	7.173610	1	1	1	0	1	1	0	0	1	1	2	1	1	0	1	0	1	6	2	1	1	1	0			111			236	190						115		160							184	0
	230	7.206560	1	1	1	0	1	1	0	0	1	1	2	1	1	0	1	0	1	5	2	1	1	1	0			111			236	190						115		160		228					184	0
	231	7.211151	1	1	1	0	1	1	1	0	1	1	2	1	1	0	1	0	1	5	2	1	1	1	0			111				190						115		160		228					184	0
	232	7.218842	1	1	1	0	1	1	0	0	1	1	2	1	1	0	1	0	1	5	2	1	1	1	0			111			171	190						115		160		228					184	0
	233	7.220034	1	1	1	0	1	1	0	0	1	1	2	1	1	1	1	0	1	5	2	1	1	1	0			111			171	190								160		228					184	0
	234	7.230828	1	1	1	0	1	1	0	1	1	1	2	1	1	1	1	0	1	5	2	1	1	1	0			111			171									160		228					184	0
	235	7.232876	1	1	1	0	1	1	0	1	1	1	2	1	1	0	1	0	1	5	2	1	1	1	0			111			171							87		160		228					184	0
	236	7.240357	1	1	1	1	1	1	0	1	1	1	2	1	1	0	1	0	1	5	2	1	1	1	0						171							87		160		228					184	0
	237	7.270418	1	1	1	1	1	1	0	1	1	1	2	1	1	0	1	1	1	5	2	1	1	1	0						171							87				228					184	0
	238	7.281479	1	1	1	0	1	1	0	1	1	1	2	1	1	0	1	1	1	5	2	1	1	1	0			114			171							87				228					184	0
	239	7.286582	1	1	1	1	1	1	0	1	1	1	2	1	1	0	1	1	1	5	2	1	1	1	0						171							87				228					184	0
	240	7.295584	1	1	1	1	1	1	0	1	0	1	2	1	1	0	1	1	1	5	2	1	1	1	0						171		161					87				228					184	0
	241	7.311092	1	1	1	1	1	1	1	1	0	1	2	1	1	0	1	1	1	5	2	1	1	1	0								161					87				228					184	0
	242	7.322464	1	1	1	1	1	1	0	1	0	1	2	1	1	0	1	1	1	5	2	1	1	1	0						230		161					87				228					184	0
	243	7.337399	1	1	1	1	1	1	0	1	0	1	2	1	1	0	1	1	1	4	2	1	1	1	0						230		161					87				76,228					184	0
	244	7.390135	1	1	1	0	1	1	0	1	0	1	2	1	1	0	1	1	1	4	2	1	1	1	0			109			230		161					87				76,228					184	0
	245	7.399384	1	1	1	0	1	1	0	1	0	1	2	1	1	0	1	1	1	5	2	1	1	1	0			109			230		161					87				228					184	0
	246	7.468923	1	1	1	0	1	1	0	1	0	1	2	1	1	0	1	1	1	6	2	1	1	1	0			109			230		161					87									184	0
	247	7.471805	1	1	1	0	1	1	1	1	0	1	2	1	1	0	1	1	1	6	2	1	1	1	0			109					161					87									184	0
	248	7.490733	1	1	1	0	1	1	1	1	0	1	2	1	1	0	1	1	0	6	2	1	1	1	0			109					161					87			172						184	0
	249	7.508494	1	1	1	0	1	0	1	1	0	1	2	1	1	0	1	1	0	6	2	1	1	1	0			109		117			161					87			172						184	0
	250	7.517641	1	1	1	0	1	0	0	1	0	1	2	1	1	0	1	1	0	6	2	1	1	1	0			109		117	97		161					87			172						184	0
	251	7.546326	1	1	1	0	1	0	1	1	0	1	2	1	1	0	1	1	0	6	2	1	1	1	0			109		117			161					87			172						184	0
	252	7.558872	1	1	1	0	1	0	1	1	1	1	2	1	1	0	1	1	0	6	2	1	1	1	0			109		117								87			172						184	0
	253	7.569768	1	1	1	0	1	0	1	1	1	1	2	1	1	0	1	1	0	5	2	1	1	1	0			109		117								87			172	190					184	0
	254	7.572943	1	1	1	0	1	0	1	1	1	1	2	1	1	1	1	1	0	5	2	1	1	1	0			109		117											172	190					184	0
	255	7.574579	1	1	1	0	1	0	0	1	1	1	2	1	1	1	1	1	0	5	2	1	1	1	0			109		117	102										172	190					184	0
	256	7.579993	1	1	1	0	1	0	0	1	1	1	2	1	1	1	1	1	1	5	2	1	1	1	0			109		117	102											190					184	0
	257	7.601032	1	1	1	0	1	0	0	0	1	1	2	1	1	1	1	1	1	5	2	1	1	1	0			109		117	102	218										190					184	0
	258	7.642691	1	1	1	0	1	0	0	0	1	1	2	1	1	1	1	1	1	6	2	1	1	1	0			109		117	102	218															184	0
	259	7.644701	1	1	1	1	1	0	0	0	1	1	2	1	1	1	1	1	1	6	2	1	1	1	0					117	102	218															184	0
	260	7.649045	1	1	1	1	1	0	0	0	1	1	2	1	1	0	1	1	1	6	2	1	1	1	0					117	102	218						238									184	0
	261	7.651711	1	1	1	1	1	0	0	0	0	1	2	1	1	0	1	1	1	6	2	1	1	1	0					117	102	218	228					238									184	0
	262	7.659873	1	1	1	0	1	0	0	0	0	1	2	1	1	0	1	1	1	6	2	1	1	1	0			86		117	102	218	228					238									184	0
	263	7.664202	1	1	1	0	1	0	0	0	0	1	2	1	1	0	1	1	1	5	2	1	1	1	0			86		117	102	218	228					238				161					184	0
	264	7.671858	1	1	1	0	1	0	0	0	1	1	2	1	1	0	1	1	1	5	2	1	1	1	0			86		117	102	218						238				161					184	0
	265	7.675427	1	1	1	0	1	0	0	0	1	1	2	1	1	0	1	1	1	6	2	1	1	1	0			86		117	102	218						238									184	0
	266	7.679451	1	1	1	0	1	0	0	1	1	1	2	1	1	0	1	1	1	6	2	1	1	1	0			86		117	102							238									184	0
	267	7.684051	1	1	1	0	1	0	0	1	1	1	2	1	1	0	1	0	1	6	2	1	1	1	0			86		117	102							238		218							184	0
	268	7.708484	1	1	1	0	1	0	0	1	1	1	2	1	1	0	1	0	1	5	2	1	1	1	0			86		117	102							238		218		231					184	0
	269	7.722403	1	1	1	1	1	0	0	1	1	1	2	1	1	0	1	0	1	5	2	1	1	1	0					117	102							238		218		231					184	0
	270	7.753078	1	1	1	1	1	0	1	1	1	1	2	1	1	0	1	0	1	5	2	1	1	1	0					117								238		218		231					184	0
	271	7.773574	1	1	1	1	1	0	1	0	1	1	2	1	1	0	1	0	1	5	2	1	1	1	0					117		191						238		218		231					184	0
	272	7.773878	1	1	1	1	1	0	1	0	1	1	2	1	1	0	1	0	0	5	2	1	1	1	0					117		191						238		218	98	231					184	0
	273	7.778144	1	1	1	1	1	0	1	0	0	1	2	1	1	0	1	0	0	5	2	1	1	1	0					117		191	215					238		218	98	231					184	0
	274	7.794342	1	1	1	1	1	1	1	0	0	1	2	1	1	0	1	0	0	5	2	1	1	1	0							191	215					238		218	98	231					184	0
	275	7.835279	1	1	1	1	1	1	1	0	0	1	2	1	1	0	1	0	0	6	2	1	1	1	0							191	215					238		218	98						184	0
	276	7.844932	1	1	1	1	1	1	1	0	0	1	2	1	1	0	1	0	1	6	2	1	1	1	0							191	215					238		218							184	0
	277	7.850341	1	1	1	1	1	1	1	0	0	1	2	1	1	1	1	0	1	6	2	1	1	1	0							191	215							218							184	0
	278	7.873446	1	1	1	1	1	1	1	0	0	1	2	1	1	1	1	0	0	6	2	1	1	1	0							191	215							218	237						184	0
	279	7.875298	1	1	1	1	1	1	1	0	0	1	2	1	1	1	1	0	0	6	2	1	1	1	1							191	215							218	237							0
	280	7.883180	1	1	1	1	1	1	1	0	0	1	2	1	1	1	1	0	0	6	2	1	1	1	0							191	215							218	237						103	0
	281	7.907533	1	1	1	1	1	1	1	0	0	1	2	1	1	1	1	0	0	5	2	1	1	1	0							191	215							218	237	118					103	0
	282	7.923087	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	0	0	5	2	1	1	1	0								215							218	237	118					103	0
	283	7.928204	1	1	1	0	1	1	1	1	0	1	2	1	1	1	1	0	0	5	2	1	1	1	0			185					215							218	237	118					103	0
	284	7.985001	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	0	0	5	2	1	1	1	0			185												218	237	118					103	0
	285	8.000330	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	0	5	2	1	1	1	0			185													237	118					103	0
	286	8.006724	1	1	1	0	1	1	1	1	0	1	2	1	1	1	1	1	0	5	2	1	1	1	0			185					217								237	118					103	0
	287	8.017751	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	0	5	2	1	1	1	0			185													237	118					103	0
	288	8.034241	1	1	1	0	1	0	1	1	1	1	2	1	1	1	1	1	0	5	2	1	1	1	0			185		82											237	118					103	0
	289	8.037831	1	1	1	0	1	0	1	1	1	1	2	1	1	1	1	1	0	5	2	1	1	1	1			185		82											237	118						0
	290	8.038182	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	0	5	2	1	1	1	1					82											237	118						0
	291	8.043192	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	5	2	1	1	1	1																237	118						0
	292	8.043414	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	5	2	1	1	1	0																237	118					195	0
	293	8.051127	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	0	5	2	1	1	1	0									228							237	118					195	0
	294	8.064716	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	0	0	5	2	1	1	1	0									228						191	237	118					195	0
	295	8.068763	1	1	1	1	1	1	1	0	1	0	2	1	1	1	1	0	0	5	2	1	1	1	0							38		228						191	237	118					195	0
	296	8.078643	1	1	1	1	1	1	1	0	1	0	2	1	1	1	1	0	0	4	2	1	1	1	0							38		228						191	237	118,217					195	0
	297	8.097247	1	1	1	1	1	1	1	0	1	0	2	1	1	1	1	1	0	4	2	1	1	1	0							38		228							237	118,217					195	0
	298	8.137234	1	1	1	0	1	1	1	0	1	0	2	1	1	1	1	1	0	4	2	1	1	1	0			83				38		228							237	118,217					195	0
	299	8.175872	1	1	1	0	1	1	1	0	1	0	2	1	1	1	1	1	0	5	2	1	1	1	0			83				38		228							237	118					195	0
	300	8.186605	1	1	1	0	1	1	1	0	1	0	2	1	1	1	1	1	0	6	2	1	1	1	0			83				38		228							237						195	0
	301	8.233695	1	1	1	0	1	1	1	0	1	0	2	1	1	1	1	1	0	5	2	1	1	1	0			83				38		228							237	215					195	0
	302	8.245522	1	1	1	0	1	1	1	1	1	0	2	1	1	1	1	1	0	5	2	1	1	1	0			83						228							237	215					195	0
	303	8.245625	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	0	5	2	1	1	1	0			83													237	215					195	0
	304	8.264582	1	1	1	0	1	1	1	0	1	1	2	1	1	1	1	1	0	5	2	1	1	1	0			83				218									237	215					195	0
	305	8.297997	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	0	5	2	1	1	1	0			83													237	215					195	0
	306	8.309784	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	0	4	2	1	1	1	0			83													237	218,215					195	0
	307	8.317662	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	0	3	2	1	1	1	0			83													237	38,218,215					195	0
	308	8.338166	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	0	4	2	1	1	1	0			83													237	38,215					195	0
	309	8.356644	1	1	1	0	1	1	1	0	1	1	2	1	1	1	1	1	0	4	2	1	1	1	0			83				219									237	38,215					195	0
	310	8.388861	1	1	1	0	1	1	1	0	1	1	2	1	1	1	1	1	0	5	2	1	1	1	0			83				219									237	215					195	0
	311	8.497252	1	1	1	0	1	1	1	0	1	1	2	1	1	1	1	1	1	5	2	1	1	1	0			83				219										215					195	0
	312	8.537344	1	1	1	0	1	1	0	0	1	1	2	1	1	1	1	1	1	5	2	1	1	1	0			83			88	219										215					195	0
	313	8.561037	1	1	1	0	1	1	0	1	1	1	2	1	1	1	1	1	1	5	2	1	1	1	0			83			88											215					195	0
	314	8.576846	1	1	1	0	1	1	0	1	1	1	2	1	1	1	1	1	1	6	2	1	1	1	0			83			88																195	0
	315	8.602272	1	1	1	0	1	1	0	1	1	1	2	1	1	1	1	1	0	6	2	1	1	1	0			83			88										81						195	0
	316	8.637774	1	1	1	0	1	1	0	0	1	1	2	1	1	1	1	1	0	6	2	1	1	1	0			83			88	201									81						195	0
	317	8.637888	1	1	1	0	1	1	0	0	1	1	2	1	1	1	1	1	1	6	2	1	1	1	0			83			88	201															195	0
	318	8.670533	1	1	1	0	1	1	0	0	1	1	2	1	1	1	1	0	1	6	2	1	1	1	0			83			88	201								219							195	0
	319	8.721951	1	1	1	0	1	1	0	0	1	1	2	1	1	1	1	0	1	6	2	1	1	1	1			83			88	201								219								0
	320	8.758460	1	1	1	0	1	1	0	0	1	1	2	1	1	1	1	0	1	6	2	1	1	1	0			83			88	201								219							239	0
	321	8.819771	1	1	1	0	1	1	0	0	1	1	2	1	1	1	1	0	1	6	2	1	1	1	1			83			88	201								219								0
	322	8.850785	1	1	1	0	1	1	0	1	1	1	2	1	1	1	1	0	1	6	2	1	1	1	1			83			88									219								0
	323	8.869884	1	1	1	0	1	1	0	1	0	1	2	1	1	1	1	0	1	6	2	1	1	1	1			83			88		229							219								0
	324	8.925692	1	1	1	0	1	1	0	1	1	1	2	1	1	1	1	0	1	6	2	1	1	1	1			83			88									219								0
	325	8.928424	1	1	1	0	1	1	0	1	1	1	2	1	1	1	1	0	1	5	2	1	1	1	1			83			88									219		201						0
	326	8.937462	1	1	1	0	1	1	0	1	1	1	2	1	1	1	1	0	1	5	2	1	1	1	0			83			88									219		201					196	0
	327	8.967275	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	0	1	5	2	1	1	1	0			83												219		201					196	0
	328	8.984502	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	0	1	4	2	1	1	1	0			83												219		201,229					196	0
	329	9.027907	1	1	1	0	1	1	1	1	1	1	2	1	1	0	1	0	1	4	2	1	1	1	0			83										90		219		201,229					196	0
	330	9.081952	1	1	1	0	1	1	1	1	0	1	2	1	1	0	1	0	1	4	2	1	1	1	0			83					215					90		219		201,229					196	0
	331	9.084741	1	1	1	0	1	1	1	1	1	1	2	1	1	0	1	0	1	4	2	1	1	1	0			83										90		219		201,229					196	0
	332	9.116077	1	1	1	0	1	1	1	1	1	0	2	1	1	0	1	0	1	4	2	1	1	1	0			83						215				90		219		201,229					196	0
	333	9.169033	1	1	1	0	1	1	1	1	1	0	2	1	1	0	1	0	0	4	2	1	1	1	0			83						215				90		219	116	201,229					196	0
	334	9.202164	1	1	1	0	1	1	1	1	1	0	2	1	1	0	1	0	1	4	2	1	1	1	0			83						215				90		219		201,229					196	0
	335	9.214227	1	1	1	0	1	1	1	1	0	0	2	1	1	0	1	0	1	4	2	1	1	1	0			83					76	215				90		219		201,229					196	0
	336	9.243167	1	1	1	0	1	1	1	1	0	0	2	1	1	0	1	0	1	5	2	1	1	1	0			83					76	215				90		219		229					196	0
	337	9.281400	1	1	1	0	1	1	1	1	0	0	2	1	1	1	1	0	1	5	2	1	1	1	0			83					76	215						219		229					196	0
	338	9.412139	1	1	1	0	1	1	1	1	0	0	2	1	1	1	1	1	1	5	2	1	1	1	0			83					76	215								229					196	0
	339	9.426927	1	1	1	0	1	1	1	1	1	0	2	1	1	1	1	1	1	5	2	1	1	1	0			83						215								229					196	0
	340	9.448360	1	1	1	0	1	1	1	1	1	0	2	1	1	1	1	1	1	4	2	1	1	1	0			83						215								76,229					196	0
